district_id,district_name,total_personas,turnout_count,turnout_rate,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,margin
28_1,兵庫県1区,100,68,0.68,井坂信彦,chudo,22,盛山正仁,ldp,17,5
28_2,兵庫県2区,100,66,0.66,阿部圭史,ishin,29,船川治郎,chudo,17,12
28_3,兵庫県3区,100,63,0.63,関芳弘,ldp,25,和田有一朗,ishin,16,9
28_4,兵庫県4区,100,66,0.66,藤井比早之,ldp,47,中山高志,chudo,12,35
28_5,兵庫県5区,100,68,0.68,谷公一,ldp,36,遠藤良太,ishin,12,24
28_6,兵庫県6区,100,58,0.58,大串正樹,ldp,20,市村浩一郎,ishin,18,2
28_7,兵庫県7区,100,69,0.69,山田賢司,ldp,23,三木圭恵,ishin,22,1
28_8,兵庫県8区,100,58,0.58,徳安淳子,ishin,22,青山繁晴,ldp,15,7
28_9,兵庫県9区,100,68,0.68,西村康稔,ldp,43,橋本慧悟,chudo,17,26
28_10,兵庫県10区,100,69,0.69,渡海紀三朗,ldp,42,掘井健智,ishin,9,33
28_11,兵庫県11区,100,72,0.72,山田基靖,ldp,31,中原立貴,dpfp,15,16
28_12,兵庫県12区,100,71,0.71,山口壮,ldp,42,池畑浩太朗,ishin,20,22
29_1,奈良県1区,100,64,0.64,小林茂樹,ldp,29,馬淵澄夫,chudo,23,6
29_2,奈良県2区,100,64,0.64,高市早苗,ldp,56,池田英子,jcp,8,48
29_3,奈良県3区,100,62,0.62,田野瀬太道,ldp,47,太田敦,jcp,8,39
29_4,奈良県4区,100,62,0.62,,,0,,,0,0
30_1,和歌山県1区,100,63,0.63,山本大地,ldp,30,林佑美,dpfp,18,12
30_2,和歌山県2区,100,67,0.67,世耕弘成,independent,47,畑野良弘,jcp,20,27
30_3,和歌山県3区,100,68,0.68,,,0,,,0,0
31_1,鳥取県1区,100,65,0.65,石破茂,ldp,52,豊哲也,sansei,6,46
31_2,鳥取県2区,100,62,0.62,赤沢亮正,ldp,49,湯原俊二,chudo,8,41
32_1,島根県1区,100,69,0.69,高階恵美子,ldp,39,亀井亜紀子,chudo,21,18
32_2,島根県2区,100,55,0.55,高見康裕,ldp,42,大塚聡子,chudo,6,36
33_1,岡山県1区,100,73,0.73,逢沢一郎,ldp,46,住寄聡美,jcp,9,37
33_2,岡山県2区,100,63,0.63,山下貴司,ldp,31,津村啓介,chudo,24,7
33_3,岡山県3区,100,73,0.73,加藤勝信,ldp,59,原田亜希子,jcp,14,45
33_4,岡山県4区,100,51,0.51,柚木道義,chudo,21,橋本岳,ldp,20,1
33_5,岡山県5区,100,65,0.65,,,0,,,0,0
34_1,広島県1区,100,64,0.64,岸田文雄,ldp,35,産原稔文,independent,7,28
34_2,広島県2区,100,62,0.62,平口洋,ldp,27,福田玄,dpfp,17,10
34_3,広島県3区,100,61,0.61,石橋林太郎,ldp,23,東克哉,chudo,17,6
34_4,広島県4区,100,60,0.6,空本誠喜,ishin,30,新谷正義,ldp,25,5
